economy,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
HRV,Croatia,4451237074.51568,5294974493.83263,5875018487.52573,7596730674.96309,8713232636.36153,9085521481.4658,10269545586.114,12347255275.432,14188349788.8956,11435395953.6489,10815219223.5568,12191014777.5613,12254259235.9387,11631068568.1933,12464293139.2627,11684279968.5245,13054040275.1367,14786768019.6538,16273041064.2141
ALB,Albania,440300000.0,509400000.0,549180000.0,720922115.774249,1094524922.14689,1256252082.24563,1623045575.35294,2082535789.35781,2677915629.36236,2588571507.47686,2533319513.41703,2775015184.78299,2383311211.74161,2242401829.15935,2454836020.8385,2206245781.87176,2610452793.5875,3194976027.08517,3574339199.97444
TKM,Turkmenistan,,,,,,,,,,,,,,,,,,,
FIN,Finland,7669505729.70436,9150743655.19706,6434793478.54083,7615067364.60809,9493897797.03427,12148024927.916,11777098339.1236,13985414284.8192,23018116077.9418,19766451451.3297,20670005627.5613,24073104713.1831,24440706883.2256,25248608391.0499,25646788341.0232,24110938651.4925,25299661057.5527,28746162202.0878,31568056055.5403
LTU,Lithuania,1321045000.0,1413150000.0,1738401483.9135,2293729958.87262,2678570376.87987,3089414667.44596,3639100285.8489,4277455141.65984,5029644226.40842,3848609196.89168,4262282741.10966,5498020748.10338,6012324770.55936,7165711332.18278,7751483843.42405,6619597442.21029,7473318330.66019,9400408033.86001,11330414449.185
UKR,Ukraine,4577000000.0,4697000000.0,5414000000.0,5690000000.0,8481000000.0,10001000000.0,11713000000.0,14734000000.0,18699000000.0,14411000000.0,17729000000.0,20618000000.0,21373000000.0,21851000000.0,14582000000.0,12202000000.0,12135000000.0,13936000000.0,15536000000.0
SRB,Serbia,,,,,,,,3130264072.85449,4002731614.54428,3482179092.85265,3511867435.93216,4200899306.57061,3964529106.98706,4543552547.96776,5033719551.05694,4728687149.45118,5045258336.52476,5943301156.75441,7126045490.09602
LIE,Liechtenstein,,,,,,,,,,,,,,,,,,,
FRO,Faroe Islands,53950000.0,56800000.0,71240000.0,77450000.0,86300434.4864383,132511417.441483,174523433.877348,214443478.795883,251881064.658775,169966538.895287,190680829.834819,206807177.135329,,,,,,,
MDA,Moldova,174750000.0,180830000.0,220190000.0,261660000.0,367730000.0,431300000.0,516840000.0,700370000.0,950060000.0,757630000.0,750240000.0,956140000.0,981020000.0,1103500000.0,1106110000.0,948630000.0,1029730000.0,1224000000.0,1445760000.0
LVA,Latvia,1022169849.23591,1081596596.91089,1189416569.63121,1703387436.14324,2025135508.47763,2466725795.16713,3035273273.40344,4373625911.24065,5326909290.66625,4358320024.1661,4001090217.89321,4774427613.84602,4764033272.58062,5100246548.79934,5428056442.23107,4810324537.30596,5080361342.40679,5612383014.14744,6234828724.13919
NLD,Netherlands,48894874527.8075,49755867541.8361,55799342485.4266,63883858591.8888,86716943532.72,91981083362.2994,97036097120.0709,118212608569.983,134566937857.167,126485657218.958,123902006832.179,136258537421.556,131684201125.22,142583471794.395,155321433402.0,167786884334.613,156748646703.648,174350417753.041,200322588613.837
SVK,Slovak Republic,2218400745.84244,2764101475.92033,4917655695.90915,7035155980.45104,5847948836.14426,6398927675.87891,7393015689.88272,8686904557.45486,9434081552.88738,6596060059.32763,6400818086.28253,7265498523.33316,7758156534.05804,9243958492.00212,9138785958.76899,8087497265.47865,9204092939.85664,10538064828.4084,12010511801.6583
KAZ,Kazakhstan,906520886.977044,1098041587.10549,1371517189.22551,1536770112.2799,1824216021.03632,2000677968.07865,2584436781.61647,3254074909.27375,3987950928.96251,3822535690.93675,3900254203.00253,4077887561.84706,5208349837.16719,5755923081.43201,6739432473.26961,5909424154.15379,5867451823.04475,6261266103.08993,7070485577.85645
IMN,Isle of Man,,,,,,,,,,,,,,,,,,,
GIB,Gibraltar,,,,,,,,,,,,,,,,,,,
GRL,Greenland,,,,,,,,,,,,,,,,,,,
ISL,Iceland,1070883260.69777,1147148047.52143,1214721350.37659,1480003665.96871,1742965556.84197,2221513927.77955,2197393641.49937,3015555051.22126,2777319609.99954,2659600289.49831,2990652352.58939,3422061587.27872,3478449816.66778,3984059006.89859,4279451799.38257,4346537633.56892,5383506430.25091,6325626565.01371,6519335128.19123
TUR,Turkiye,19169000000.0,15003000000.0,13978000000.0,17926000000.0,22831000000.0,27502000000.0,25762000000.0,29603000000.0,36652000000.0,35356000000.0,35966000000.0,40750000000.0,43498000000.0,58775000000.0,62208000000.0,55259000000.0,45791000000.0,53237000000.0,58563000000.0
EST,Estonia,1576553420.03967,1817163948.74871,1851569172.80326,2364693352.28888,3046545153.70347,3471278332.16676,3828632842.83702,4707185933.3769,5644958251.60252,4571946999.14677,4693571920.19826,5607392699.12471,5975008887.0406,6624390902.90433,7094579560.6612,5812314493.6164,6055490320.34561,6873840936.46874,7820369423.1261
ITA,Italy,58656320747.9331,59657701007.3974,62160658841.1708,73205339037.17,86286547813.9971,90799813886.151,101090596365.103,115081759407.81,114475695004.275,95929513724.2103,99776029818.7584,110286823577.434,107693202496.975,111303269469.414,113518646246.55,97431410437.1576,100157497192.057,112119916109.798,122308610924.103
ROU,Romania,1735000000.0,2033000000.0,2389000000.0,3052000000.0,3718000000.0,9641786971.95851,12241860536.3716,13045871679.376,16317954681.4639,11758602889.7887,10348272832.1981,12038389329.8256,12608107298.3816,18023345654.1967,20597096071.8566,18978701623.9104,20810524663.4098,24570199854.841,28052299043.8364
CHI,Channel Islands,,,,,,,,,,,,,,,,,,,
XKX,Kosovo,,,,,203798448.068611,226395334.666025,284419122.327172,371033880.968464,490485834.969829,615615338.096083,674472687.854511,1077832135.27293,1082286280.85104,1107532503.28822,1188331190.13858,1018193021.06298,1216788490.11122,1519490176.53947,1791915682.88415
PRT,Portugal,9202157598.3227,9331703103.00529,10213072045.1584,12155752694.8088,14533761927.5252,14936757358.9216,18404762500.6499,23427344007.2649,26231760066.184,22900597895.357,22827691207.3593,26688312331.3851,25260150503.0395,28896241442.4103,30402684143.554,27481382207.6358,29289336327.6603,34872701546.5083,39184428475.1555
LUX,Luxembourg,20089270837.6509,19740463537.5118,21691681296.0227,27386459693.0526,35187945537.6838,41467012947.9143,51660874499.2296,62033916360.4245,63875008945.1258,56446889522.2712,62325206205.3695,70987642295.534,75782081637.8307,86835200070.2182,97334665428.3651,93040055722.5165,93553532654.9737,100832917752.573,108710855607.934
AND,Andorra,,,,,,,,,,,,,,,,,,,
MCO,Monaco,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,1884000000.0,1957800000.0,2311000000.0,2786200000.0,3454400000.0,3969700000.0,4351252346.73583,5449548657.89465,7434813664.14762,6223638082.23087,6234493348.73376,6919211751.24774,6597752102.81623,7120140948.81924,7559501702.0148,6580230628.46482,7195637509.59853,8375669787.20339,9557014404.7377
ESP,Spain,52724545554.0357,55874369948.5194,60516796373.1733,74368262645.2772,84868222717.2439,92856757565.9175,104875196337.86,121064390265.994,134139426020.262,114474248411.286,113968891496.248,133463679492.937,124867480626.317,130021690631.726,137530674680.073,121449668222.709,130643572624.581,144413171652.633,155361484628.205
NOR,Norway,17671493811.5113,18378223244.7847,19479571463.8019,21655655769.1964,25298231937.2039,29648541277.6212,31812567368.5424,37599793886.1832,42384529055.0568,35165842830.231,41206404231.5104,40882060433.9907,46466237233.1961,48574604666.4176,49299016539.515,41605497171.3189,41425184388.7008,40505841961.7423,43295901869.3013
BIH,Bosnia and Herzegovina,447954051.121514,494918763.78418,522426247.911281,719104034.775519,861312046.486934,986626010.944108,1137294581.3234,1797807245.85774,2030327932.16787,1740556296.94691,1698317063.63541,1687162288.82725,1578805189.70867,1619187477.57639,1661247289.12754,1677584445.01057,1785087022.25995,2014057336.24392,2298987016.74072
BGR,Bulgaria,2128795756.57992,2100175191.8249,2148627606.51168,2914905782.01467,3974679118.23113,4351796923.96333,5234331690.83866,6761485336.57405,7939473382.72557,6880968064.79071,6558920000.0,7449260000.0,7394790000.0,7802210000.0,9018170000.0,8169860000.0,8945420000.0,9371450000.0,10794300000.0
RUS,Russian Federation,11300380000.0,12493680000.0,14956750000.0,18284900000.0,22843780000.0,28615810000.0,35481960000.0,43563020000.0,56531200000.0,45356810000.0,48644230000.0,57344710000.0,61464800000.0,69110930000.0,64817970000.0,50809020000.0,49818860000.0,56658870000.0,63623720000.0
KGZ,Kyrgyz Republic,57176588.5782,75867192.3104,120104640.0,137012253.993134,192532726.571773,233544023.759534,351404746.773133,654046292.993134,794867721.659781,627901045.8,585531325.0,846074252.0,971837550.5,1043151836.7,893815184.925,846019001.0,832917590.0,815608626.0,813030234.0
BLR,Belarus,1000900000.0,1132400000.0,1329300000.0,1681400000.0,1941400000.0,2324800000.0,2657300000.0,3543300000.0,4580000000.0,3714500000.0,4798600000.0,5616000000.0,6328100000.0,7531200000.0,7916200000.0,6662400000.0,6857800000.0,7883700000.0,8816800000.0
HUN,Hungary,7369622314.15116,8541480711.94393,8864274517.32651,10628622337.5455,11786192282.5584,12999071394.0075,13964071069.4418,17590000752.527,20624288589.0418,18699608854.8556,19530246709.6672,22437821536.8818,20624592318.8874,22506892774.5622,24777642686.4109,22369516100.2965,24089790485.3144,26836585001.5616,29824808249.0685
GBR,United Kingdom,142081724597.219,143994292524.974,153810494063.838,183165409793.582,227490111809.923,250598451545.208,287012441670.805,336729099008.756,334931267753.84,288656837109.076,299672320446.591,343094636636.455,349415516663.441,366951467660.906,392464756332.242,379454584996.92,368062806842.876,385895376638.746,427748319114.041
AUT,Austria,,,,,,44543362120.2747,45154130836.5417,53863365999.356,62463134120.015,53344930346.6305,52162821125.2523,58604238526.4674,57312982693.3652,63917893140.3402,67984243545.5003,58569564729.678,60918072554.9004,66552868751.8855,75274286464.8718
BEL,Belgium,,,37546709626.2141,44912800725.3715,52046130372.2222,55194311877.6102,58259382592.4541,71746331037.6211,94828660889.5989,90530604968.7646,96063569195.815,102882412977.644,104402486869.487,111790353386.955,123523066042.771,107097809206.718,106739291379.214,115380830862.654,121772401935.073
UZB,Uzbekistan,,,,,,799017861.715462,983296759.762346,1307703594.09069,1518449653.48766,1345148203.29276,1390762705.18345,1821286174.72682,2117263801.68033,2424643641.01055,2342628607.3447,2336792247.15718,1886625256.43953,2231037037.4775,2731227230.08908
POL,Poland,10374000000.0,9773000000.0,10029000000.0,11178000000.0,15016000000.0,17999000000.0,22184000000.0,31308000000.0,37616000000.0,30938000000.0,34658000000.0,39916000000.0,40014000000.0,43625000000.0,47576000000.0,44077000000.0,48712000000.0,57868000000.0,67999000000.0
MNE,Montenegro,,,,,,,,933066887.529313,1194381662.02976,1053523609.87154,1048264962.09251,1272223964.42778,1202939457.31016,1317075916.95785,1369075678.77529,1347244769.83227,1396269975.67643,1590980332.39792,1832181256.37792
DEU,Germany,77850959146.0164,78430185940.0292,92810961104.9168,112744860776.846,143878237524.098,156316630554.088,178287509638.317,208062334310.5,239209148983.743,221643978058.968,225953634606.637,250544090011.991,250841690915.324,271335046265.934,297980494156.885,275829820126.635,288333260810.088,317380652599.654,351121145017.097
TJK,Tajikistan,,,60160300.0,65947400.0,80780900.0,102721800.0,110257200.0,116455500.0,133540900.0,140849900.0,384604141.0,459243911.0,487640558.0,363379359.0,309501017.0,252390533.0,231825040.0,246814360.0,237927600.0
